r,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH0,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4
63,0.8892427610833554,1.7300835830227212,0.7841313787146506,0.6990063068859789,2.528752298415156,0.656683961187514,0.5507498395328603,0.7557701787021658,2.195682200108794,0.8176038535639752,0.4009645388822415,1.4863859951631646,0.7122511056747303,0.9722765486249866,0.9545046559477038,2.041140075140592,2.4050533529232436,1.1572104919301667,0.9794300489276531,2.551019050169001
64,1.0028424167002308,1.7025038212574493,0.761951823654393,0.7997563231781033,2.7162395755762967,0.87968612460728,0.6603725328769507,1.029157855837875,2.2923616151295554,1.248033800340641,0.7923028873382055,1.95379466579792,0.6804469376379958,1.2281636901998942,1.206210877971703,2.15208304248945,2.6005670083716534,1.5124871071139643,1.2704772440112397,2.815239043897683
65,0.9553872470459456,1.7028780208180812,0.7566763521357937,0.778055309092132,2.679179905516382,0.8074092736144707,0.6627555410195298,0.9111351066132598,2.2604164874744166,0.9047776211900982,0.6005398345849882,1.845413783937159,0.6852667745827075,1.1393543891157747,1.161580809600824,2.1110505528287904,2.5119468196352686,1.416243940138041,1.1943907492817805,2.718763165048325
66,0.992809382846942,1.7647794105231216,0.6886893092383783,0.7581845616933559,2.596190279471444,0.8222408322760335,0.6295151279550393,0.9871251274770653,2.2568908660713474,1.3407079723013176,0.8175739522868164,1.7376516916426614,0.6876725577104572,1.135626749795994,1.0626178534688397,2.1252768144639234,2.5365390504609975,1.369244940021711,1.103137522562484,2.7887583762956543
67,0.9137933747860394,1.678087703590906,0.8295977350408471,0.7172649405799493,2.619030529704314,0.6902947852847009,0.6503505073464335,0.7384180780156644,2.196250245197693,0.7276789478685075,0.34990254196864484,1.6495177091311,0.693240322433396,1.047349749005593,1.0806013432972272,2.049697299876998,2.412037437082915,1.2439018508240367,1.1035110827087524,2.5271020116892244
68,0.999397674425692,1.7754943870049027,0.7282661097122289,0.7965235523827225,2.6238689749619533,0.7976583559926054,0.6407924936696131,0.9579772233304105,2.312473823693582,1.0886111142653567,0.6461433331232497,1.7116716199877406,0.6551867237386314,1.111582839873593,1.0757902021886059,2.1432179052869036,2.5785943655564774,1.3647884348153594,1.146065041431244,2.767081871783201
69,0.9541659373928292,1.745400946003828,0.7154583696696073,0.741457086501532,2.5881410118480273,0.7350809841383479,0.6088362240113512,0.8603052041737917,2.2535654905594407,0.8575433338457578,0.480956673113954,1.616267538259509,0.6684641037300456,1.0263228471645935,1.033443314605707,2.102364719668809,2.4993254883707112,1.2698673393013598,1.0701835442664238,2.662973720572955
70,0.9942637178563022,1.7033039371475642,0.7391654443639664,0.7661710400897072,2.6878917894640466,0.8560981654676991,0.6231300523045371,1.0009602627932248,2.2435323232122055,1.3215400957013048,0.8122786909962098,1.9329566048025641,0.7024828231663267,1.2207389411840415,1.1919552276557215,2.1340551308581435,2.553916991102228,1.4743867468774807,1.2274495598287967,2.7921058545169215
71,0.9626996683893615,1.758296674642032,0.7101596487102583,0.7305414131061724,2.5588013331368957,0.7610188164606819,0.6619548282303219,0.8720883900115131,2.216503656285102,1.0032831474035089,0.5593048297221683,1.6242896687187984,0.6958849922623465,1.0174781350864919,1.0470080761575893,2.105455855042514,2.484145655474142,1.2781603261445997,1.059984631737936,2.692944841374065
72,0.9315188802438293,1.682960607152156,0.7496815558191391,0.7824282460682197,2.6917401484595667,0.7321360796869919,0.5212520146336279,0.8708502179518565,2.28564243835999,0.9300356769190637,0.4860369791171851,1.7880604664107291,0.6574507432800952,1.123428792013624,1.1311073155367963,2.1016391724348917,2.531088466730768,1.3690945431894905,1.207345576851876,2.649173632113726
73,1.0081342074646056,1.703690733251276,0.7570432459203106,0.8080753114798007,2.718705979133365,0.868676742945803,0.6131254018882994,1.0079837978204969,2.3041805301131033,1.2850402542071326,0.791627405630783,1.931881266770614,0.6737432744964453,1.2151707984478473,1.204315100178326,2.152671875163157,2.592526279567249,1.5000861136304267,1.270301954712294,2.797649226804532
